"Date","Credit cards","Other loans and advances"
"31-01-2012","36","-276"
"29-02-2012","-155","-185"
"31-03-2012","308","-20"
"30-04-2012","-90","-36"
"31-05-2012","48","142"
"30-06-2012","363","79"
"31-07-2012","-205","-75"
"31-08-2012","41","-174"
"30-09-2012","449","484"
"31-10-2012","-171","-2"
"30-11-2012","100","-94"
"31-12-2012","395","947"
"31-01-2013","75","412"
"28-02-2013","258","346"
"31-03-2013","227","306"
"30-04-2013","119","423"
"31-05-2013","313","327"
"30-06-2013","453","148"
"31-07-2013","-45","564"
"31-08-2013","236","594"
"30-09-2013","254","643"
"31-10-2013","174","366"
"30-11-2013","312","76"
"31-12-2013","119","882"
"31-01-2014","312","383"
"28-02-2014","234","506"
"31-03-2014","161","755"
"30-04-2014","302","444"
"31-05-2014","161","733"
"30-06-2014","198","441"
"31-07-2014","242","825"
"31-08-2014","296","614"
"30-09-2014","55","877"
"31-10-2014","430","690"
"30-11-2014","194","725"
"31-12-2014","337","554"
"31-01-2015","173","675"
"28-02-2015","259","665"
"31-03-2015","266","1213"
"30-04-2015","500","732"
"31-05-2015","136","768"
"30-06-2015","241","969"
"31-07-2015","405","1062"
"31-08-2015","377","863"
"30-09-2015","238","1007"
"31-10-2015","313","1001"
"30-11-2015","407","973"
"31-12-2015","503","916"
"31-01-2016","483","1170"
"29-02-2016","157","1278"
"31-03-2016","755","1339"
"30-04-2016","167","940"
"31-05-2016","529","908"
"30-06-2016","539","1257"
"31-07-2016","494","946"
"31-08-2016","451","990"
"30-09-2016","331","1220"
"31-10-2016","779","1069"
"30-11-2016","426","1510"
"31-12-2016","411","701"
"31-01-2017","369","1176"
"28-02-2017","571","861"
"31-03-2017","553","1241"
"30-04-2017","661","837"
"31-05-2017","210","1283"
"30-06-2017","491","795"
"31-07-2017","503","861"
"31-08-2017","414","1264"
"30-09-2017","547","927"
"31-10-2017","455","1128"
"30-11-2017","612","883"
"31-12-2017","569","1132"
"31-01-2018","644","553"
"28-02-2018","700","1000"
"31-03-2018","124","366"
"30-04-2018","656","1222"
"31-05-2018","539","932"
"30-06-2018","572","910"
"31-07-2018","182","652"
"31-08-2018","426","770"
"30-09-2018","402","446"
"31-10-2018","235","564"
"30-11-2018","349","598"
"31-12-2018","88","594"
"31-01-2019","347","748"
